Produto,Data,Peso,Exp/Imp,Porto
ACUCAR A GRANEL,2024-10-13,60750.0,Exp,Santos
ACUCAR A GRANEL,2024-10-18,47840.0,Exp,Santos
ACUCAR A GRANEL,2024-10-20,77510.0,Exp,Santos
ACUCAR A GRANEL,2024-10-21,60000.0,Exp,Santos
ACUCAR A GRANEL,2024-10-24,55800.0,Exp,Santos
ACUCAR A GRANEL,2024-10-24,77000.0,Exp,Santos
ACUCAR A GRANEL,2024-10-27,49000.0,Exp,Santos
GRAN.SOLIDO NAO ESPECIF,2024-10-28,66000.0,Exp,Santos
ACUCAR A GRANEL,2024-10-28,35000.0,Exp,Santos
ACUCAR A GRANEL,2024-10-28,22000.0,Exp,Santos
ACUCAR A GRANEL,2024-11-01,82000.0,Exp,Santos
ACUCAR A GRANEL,2024-11-01,60500.0,Exp,Santos
ACUCAR A GRANEL,2024-11-02,82930.0,Exp,Santos
FERTILIZANTES,2024-10-01,71066.0,Imp,Santos
FERTILIZANTES,2024-10-04,32669.0,Imp,Santos
FERTILIZANTES,2024-10-06,25108.0,Imp,Santos
FRUTAS FRESCAS,2024-10-09,5500.0,Imp,Santos
FERTILIZANTES,2024-10-10,45000.0,Imp,Santos
GRAN.SOLIDO NAO ESPECIF,2024-10-11,79929.0,Imp,Santos
FERTILIZANTES,2024-10-15,9600.0,Imp,Santos
FERTILIZANTES,2024-10-15,44000.0,Imp,Santos
FERTILIZANTES,2024-10-16,10000.0,Imp,Santos
FERTILIZANTES,2024-10-18,46698.0,Imp,Santos
GRAN.SOLIDO NAO ESPECIF,2024-10-20,76700.0,Imp,Santos
FERTILIZANTES,2024-10-20,20240.0,Imp,Santos
SAL A GRANEL,2024-10-20,51213.0,Imp,Santos
FERTILIZANTES,2024-10-25,49499.0,Imp,Santos
FERTILIZANTES,2024-10-26,29889.0,Imp,Santos
FERTILIZANTES,2024-10-28,11000.0,Imp,Santos
GRAN.SOLIDO NAO ESPECIF,2024-10-28,25004.0,Imp,Santos
ENXOFRE A GRANEL,2024-10-28,43049.0,Imp,Santos
FERTILIZANTES,2024-10-29,43280.0,Imp,Santos
FERTILIZANTES,2024-10-29,49499.0,Imp,Santos
FERTILIZANTES,2024-10-30,5000.0,Imp,Santos
FERTILIZANTES,2024-10-31,35991.0,Imp,Santos
FERTILIZANTES,2024-10-31,20000.0,Imp,Santos
FERTILIZANTES,2024-11-01,23100.0,Imp,Santos
FERTILIZANTES,2024-11-15,16250.0,Imp,Santos
FERTILIZANTES,2024-11-23,32000.0,Imp,Santos
ENXOFRE A GRANEL,2024-11-24,41999.0,Imp,Santos
PASSAGEIROS,2026-02-20,0.0,Exp,Paranagua
PASSAGEIROS,2026-02-08,0.0,Imp/Exp,Paranagua
PASSAGEIROS,2025-12-22,0.0,Imp/Exp,Paranagua
PASSAGEIROS,2025-02-27,0.0,Imp/Exp,Paranagua
PASSAGEIROS,2025-02-18,0.0,Imp/Exp,Paranagua
PASSAGEIROS,2025-01-31,0.0,Imp/Exp,Paranagua
PASSAGEIROS,2025-01-24,0.0,Imp/Exp,Paranagua
VEICULOS,2025-01-24,650.0,Imp/Exp,Paranagua
